Id,Label
Zuerich,Zuerich
Basel,Basel
Bern,Bern
Winterthur,Winterthur
Luzern,Luzern
Schaffhausen,Schaffhausen
Chur,Chur
Uster,Uster
Olten,Olten
Arthgoldau,Arthgoldau
Genf,Genf
Lausanne,Lausanne
Vernier,Vernier
Biel,Biel
Freiburg,Freiburg
Sion,Sion
Thun,Thun
Koeniz,Koeniz
Neuenburg,Neuenburg
St.Gallen,St.Gallen
Lugano,Lugano
Chaux-de-Fonds,Chaux-de-Fonds
